Protein	H5LungInf3d-H5LungPBS4d_log2FC	H5LungInf3d-H5LungPBS4d_adj.pvalue	H5LungInf4d-H5LungPBS4d_log2FC	H5LungInf4d-H5LungPBS4d_adj.pvalue
175.1/3.4	0.0513601924497091	0.99997651208131	0.406743381341664	0.740615728539967
175.1/9.4	0.0860095710479354	0.99997651208131	-0.697667217033128	0.105061164630517
176.0/21.1	-0.0258286581987962	0.99997651208131	-0.310503127570561	0.712738322807883
176.0/5.5	-0.179262461998768	0.99997651208131	-0.467830642309078	0.647349239924871
176.0/9.4	0.896609906994202	0.99997651208131	-1.66726572913144	0.180733740254035
176.1/0.3	-0.0321070749140837	0.99997651208131	-0.186023471655023	0.752744880294985
176.1/10.1	0.308917195243683	0.99997651208131	0.00816548666323449	0.9933018110125
176.1/7.1	-0.541072488845046	0.99997651208131	-0.587066156573627	0.718979407109735
177.0/0.1	-0.00410491804450386	0.99997651208131	-0.546813385751542	0.215302626057724
177.0/20.8	-0.217752216112623	0.99997651208131	-0.381750143235784	0.668326952682462
177.0/3.6	-0.277515717518166	0.99997651208131	-0.391313612485549	0.638206233596755
177.0/5.8	-0.157607594699304	0.99997651208131	-0.544949507781388	0.608035489359901
177.1/0.3	-0.142792731407278	0.99997651208131	-0.717348948646724	0.0688323646123001
177.1/21.0	-0.253518067748779	0.99997651208131	-0.427992237605494	0.590960909740293
177.1/7.1	-0.531103508876101	0.99997651208131	-0.703076254059415	0.712738322807883
178.0/9.6	0.999804183175141	0.99997651208131	0.516841755092262	0.740615728539967
179.1/17.7	0.384393715420738	0.99997651208131	0.347191299486234	0.56700549550958
179.1/20.3	-0.172079906526896	0.99997651208131	-0.393772499398181	0.647881523487124
179.1/20.9	-0.211354470829332	0.99997651208131	-0.293920719194221	0.707077442810029
179.1/3.8	-0.312152542115294	0.99997651208131	-1.57307493948623	0.0252214882954402
179.1/5.4	0.497516315010101	0.831441580575209	0.220301339352693	0.712738322807883
179.1/7.9	0.147913792327842	0.99997651208131	0.518792305630859	0.544997767974117
181.0/4.8	-1.88337327607882	0.733534716021785	0.419052242002007	0.835168376570493
181.0/9.2	1.24211427827134	0.99997651208131	2.81108615450829	0.182636248259844
182.0/9.8	-0.752076961305595	0.960093931692625	0.0139955735486825	0.993496968711981
182.1/5.2	-0.222076052754682	0.99997651208131	0.120483332263319	0.85545125814666
182.2/2.3	0.910624145202214	0.99997651208131	-5.44402266154067	5.58310984033472e-06
